Antier;Ayer;Hoy;Manana
238.5;236.479996;236.149994;242.119995
236.479996;236.149994;242.119995;247.25
236.149994;242.119995;247.25;250.660004
242.119995;247.25;250.660004;231.320007
247.25;250.660004;231.320007;226.75
250.660004;231.320007;226.75;235.869995
231.320007;226.75;235.869995;232.130005
226.75;235.869995;232.130005;228.169998
235.869995;232.130005;228.169998;220.100006
232.130005;228.169998;220.100006;214.25
228.169998;220.100006;214.25;221.389999
220.100006;214.25;221.389999;227.869995
214.25;221.389999;227.869995;228.869995
221.389999;227.869995;228.869995;224.509995
227.869995;228.869995;224.509995;242.979996
228.869995;224.509995;242.979996;247.110001
224.509995;242.979996;247.110001;241.550003
242.979996;247.110001;241.550003;241.970001
247.110001;241.550003;241.970001;241.729996
241.550003;241.970001;241.729996;241.679993
241.970001;241.729996;241.679993;241.220001
241.729996;241.679993;241.220001;242.050003
241.679993;241.220001;242.050003;245.029999
241.220001;242.050003;245.029999;247.580002
242.050003;245.029999;247.580002;247.490005
245.029999;247.580002;247.490005;241.759995
247.580002;247.490005;241.759995;240.330002
247.490005;241.759995;240.330002;255.139999
241.759995;240.330002;255.139999;254.690002
240.330002;255.139999;254.690002;255.020004
255.139999;254.690002;255.020004;250.199997
254.690002;255.020004;250.199997;245.119995
255.020004;250.199997;245.119995;244.369995
250.199997;245.119995;244.369995;247.399994
245.119995;244.369995;247.399994;245.419998
244.369995;247.399994;245.419998;252.509995
247.399994;245.419998;252.509995;256.920013
245.419998;252.509995;256.920013;257.220001
252.509995;256.920013;257.220001;249.009995
256.920013;257.220001;249.009995;244.690002
257.220001;249.009995;244.690002;240.449997
249.009995;244.690002;240.449997;241.800003
244.690002;240.449997;241.800003;244.429993
240.449997;241.800003;244.429993;238.190002
241.800003;244.429993;238.190002;238.729996
244.429993;238.190002;238.729996;236.960007
238.190002;238.729996;236.960007;234.529999
238.729996;236.960007;234.529999;241.009995
236.960007;234.529999;241.009995;239.820007
234.529999;241.009995;239.820007;239.580002
241.009995;239.820007;239.580002;229.100006
239.820007;239.580002;229.100006;222.309998
239.580002;229.100006;222.309998;224.929993
229.100006;222.309998;224.929993;227.119995
222.309998;224.929993;227.119995;228.850006
224.929993;227.119995;228.850006;235.770004
227.119995;228.850006;235.770004;238.509995
228.850006;235.770004;238.509995;239.229996
235.770004;238.509995;239.229996;240.350006
238.509995;239.229996;240.350006;235.809998
239.229996;240.350006;235.809998;231.929993
240.350006;235.809998;231.929993;240.220001
235.809998;231.929993;240.220001;242.580002
231.929993;240.220001;242.580002;242.039993
240.220001;242.580002;242.039993;240.610001
242.580002;242.039993;240.610001;248
242.039993;240.610001;248;248.160004
240.610001;248;248.160004;242.710007
248;248.160004;242.710007;247.809998
248.160004;242.710007;247.809998;252.75
242.710007;247.809998;252.75;264.600006
247.809998;252.75;264.600006;258.350006
252.75;264.600006;258.350006;256.769989
264.600006;258.350006;256.769989;267.559998
258.350006;256.769989;267.559998;266.730011
256.769989;267.559998;266.730011;263.619995
267.559998;266.730011;263.619995;263.100006
266.730011;263.619995;263.100006;271.320007
263.619995;263.100006;271.320007;272.170013
263.100006;271.320007;272.170013;269.320007
271.320007;272.170013;269.320007;262.149994
272.170013;269.320007;262.149994;258.059998
269.320007;262.149994;258.059998;252.669998
262.149994;258.059998;252.669998;251.509995
258.059998;252.669998;251.509995;254.770004
252.669998;251.509995;254.770004;249.220001
251.509995;254.770004;249.220001;250.160004
254.770004;249.220001;250.160004;249.419998
249.220001;250.160004;249.419998;246.270004
250.160004;249.419998;246.270004;251.110001
249.419998;246.270004;251.110001;255.289993
246.270004;251.110001;255.289993;256.869995
251.110001;255.289993;256.869995;254.149994
255.289993;256.869995;254.149994;253.699997
256.869995;254.149994;253.699997;252.320007
254.149994;253.699997;252.320007;248.589996
253.699997;252.320007;248.589996;253.919998
252.320007;248.589996;253.919998;260.790009
248.589996;253.919998;260.790009;265.440002
253.919998;260.790009;265.440002;276.200012
260.790009;265.440002;276.200012;279.429993
265.440002;276.200012;279.429993;272.230011
276.200012;279.429993;272.230011;273.779999
279.429993;272.230011;273.779999;272.290009
272.230011;273.779999;272.290009;277.660004
273.779999;272.290009;277.660004;280.570007
272.290009;277.660004;280.570007;276.380005
277.660004;280.570007;276.380005;275.230011
280.570007;276.380005;275.230011;280.51001
276.380005;275.230011;280.51001;284.049988
275.230011;280.51001;284.049988;288.299988
280.51001;284.049988;288.299988;287.230011
284.049988;288.299988;287.230011;287.179993
288.299988;287.230011;287.179993;284.339996
287.230011;287.179993;284.339996;291.600006
287.179993;284.339996;291.600006;289.390015
284.339996;291.600006;289.390015;282.829987
291.600006;289.390015;282.829987;283.48999
289.390015;282.829987;283.48999;289.839996
282.829987;283.48999;289.839996;286.140015
283.48999;289.839996;286.140015;288.799988
289.839996;286.140015;288.799988;288.369995
286.140015;288.799988;288.369995;288.450012
288.799988;288.369995;288.450012;286.109985
288.369995;288.450012;286.109985;285.76001
288.450012;286.109985;285.76001;281.769989
286.109985;285.76001;281.769989;275.420013
285.76001;281.769989;275.420013;295.369995
281.769989;275.420013;295.369995;304.829987
275.420013;295.369995;304.829987;307.26001
295.369995;304.829987;307.26001;305.559998
304.829987;307.26001;305.559998;305.410004
307.26001;305.559998;305.410004;304.399994
305.559998;305.410004;304.399994;305.410004
305.410004;304.399994;305.410004;310.649994
304.399994;305.410004;310.649994;308.649994
305.410004;310.649994;308.649994;307
310.649994;308.649994;307;312.309998
308.649994;307;312.309998;310.109985
307;312.309998;310.109985;308.970001
312.309998;310.109985;308.970001;309.459991
310.109985;308.970001;309.459991;311.73999
308.970001;309.459991;311.73999;314
309.459991;311.73999;314;318.519989
311.73999;314;318.519989;318.339996
314;318.519989;318.339996;321.179993
318.519989;318.339996;321.179993;315.26001
318.339996;321.179993;315.26001;313.850006
321.179993;315.26001;313.850006;325.920013
